date,published_carousels,published_reels,views_total_now,comments_total_now,views_pct_vs_prev_day,comments_pct_vs_prev_day,followers_now,day_status,analysis
12 Aug '26 (Wed),0,4,459,1,,,,OK,
14 Aug '26 (Fri),1,1,40,0,-91,-100,,OK,
15 Aug '26 (Sat),1,1,47,0,18,,,OK,
16 Aug '26 (Sun),1,1,32,0,-32,,,OK,
17 Aug '26 (Mon),0,1,120,0,275,,,MISS — missing 1 carousel · carousel: ERROR: public/ig/c-whatsapp-gap already exists. Pass --force to overwrite.,
18 Aug '26 (Tue),1,2,275,0,129,,,OK,
19 Aug '26 (Wed),0,2,124,0,-55,,,MISS — missing 1 carousel · carousel: ERROR: public/ig/c-workflow-ai-web-researcher-for-sales already exists. Pass --force to overwrite.,"The tool-discovery reel (Claude plugins) pulled 77 views versus 5 for the AI-agent-book reel, confirming the tool lane works while book-style content is dead weight, but zero comments and saves on both means neither hook earned engagement. Tomorrow, post only tool-discovery reels and end each with an explicit comment-trigger CTA tied to the DM funnel."
20 Aug '26 (Thu),0,2,25,0,-80,,,MISS — missing 1 carousel · carousel: ERROR: public/ig/c-workflow-ai-web-researcher-for-sales already exists. Pass --force to overwrite. · business reel: null · tool reel: null,"Nothing worked today: the ""nanobot"" reel reached 1 view with zero comments and saves, versus 77 views for Tuesday's Claude-plugins reel, so the topic failed distribution — obscure tool names give viewers no reason to stop. Tomorrow, lead with one widely recognized tool (Claude, n8n, ChatGPT) in the hook's first three words."
21 Aug '26 (Fri),1,2,246,3,884,,,OK,"Tool-discovery reels again carried reach (95 and 59 views) while the carousel stalled at 9, yet all three posts drew zero comments and zero saves. Tomorrow, give the top reel a concrete Comment-1 ask (""comment TOOL for the repo link"") and measure whether a single explicit trigger converts views into engagement."
22 Aug '26 (Sat),1,2,249,3,1,0,,OK,"Tool-discovery reels worked again (65 and 56 views) while the carousel flopped at 9 views, and every post got exactly one comment with zero saves — almost certainly just the seeded first comment, not real engagement. Tomorrow, end each reel with a save-bait line (""save this before you forget the repo name"") and skip the carousel slot for a third reel."
23 Aug '26 (Sun),0,3,424,4,70,33,,OK,"The Claude Code research-while-you-sleep reel won on views (144) but page-agent earned the only save plus the most comments, so concrete agent use-cases outperformed the VoiceStudio tool demo (89). Tomorrow, lead every reel with a single specific ""this agent did X for me"" outcome and end with a comment prompt."
24 Aug '26 (Mon),0,3,1181,10,179,150,,OK,"""tr-goose"" worked — 455 views with 6 saves and 4 comments shows a save-worthy, discussion-triggering tool pick; ""tr-playwright-mcp"" and ""tr-pageindex"" flopped at 88–125 views with near-zero engagement, suggesting niche dev tools don't hook this audience. Tomorrow, pick one broadly useful tool goose-style and frame all three reels around a save-driven use case."
25 Aug '26 (Tue),0,3,636,3,-46,-70,,OK,"UI-TARS won decisively (273 views, 2 saves) because desktop AI-agent tools out-pull niche utilities, while opendataloader-pdf underperformed (119 views) and comments stayed flat at 1 across all three, meaning the comment-CTA isn't converting viewers. Tomorrow, post an agent/desktop-automation tool and sharpen the end-card CTA into a specific question rather than a generic ""Comment 1"" prompt."
26 Aug '26 (Wed),0,3,232,3,-64,0,,OK,"Views are consistent but low (40–63) with no breakout, and the comment-CTA end-card is working at a floor of exactly 1 comment per reel — likely just the funnel seed, with zero saves showing no genuine engagement. Tomorrow, lead one reel with a save-worthy payoff (a copyable prompt or repo list) instead of relying solely on the comment gate."
27 Aug '26 (Thu),1,3,426,6,84,100,,OK,"Reels held their lane — tr-lightrag led at 162 views with 3 saves, and every reel drew comments — while the carousel flopped at 8 views with zero saves, confirming reels carry all reach. Tomorrow, drop the carousel slot and post a third tool-discovery reel, leading with a lightrag-style ""underrated repo"" hook."
28 Aug '26 (Fri),0,3,350,4,-18,-33,,OK,"All three tool reels landed in a tight 112–115 view band with near-zero engagement (1–2 comments, 0–1 saves), so the format is reaching a capped audience but giving them no reason to act. Tomorrow, make one reel save-worthy by ending on a concrete copy-paste artefact — the exact command or prompt on screen — instead of a general tool walkthrough."
29 Aug '26 (Sat),0,4,487,4,39,0,,OK,"All four tool-discovery reels landed in a flat 109–122 view band with exactly one comment each and near-zero saves, meaning the format is consistent but nothing broke out or triggered saving behaviour. Tomorrow, post one reel built around a save-worthy payoff — a copyable setup or prompt revealed only in the carousel/caption — instead of four interchangeable tool showcases."
30 Aug '26 (Sun),0,4,396,4,-19,0,,OK,"Three tool-track reels clustered at 111–117 views with a comment each, confirming the CLI/routing tool-discovery lane works, but ""tr-qwenpaw"" flopped at 31 and only one save across four posts shows weak save-worthiness. Tomorrow, post one reel styled after ""tr-omniroute"" (the only saver) with an explicit save/comment CTA instead of four thin ones."
31 Aug '26 (Mon),0,4,460,4,16,0,,OK,"Three reels cleared 100+ views (archify 145, adhd 115, book-to-skill 106) with book-to-skill earning the only 2 saves, while officecli flopped at 20 views and zero saves. Tomorrow, drop CLI-style tools and lead with a save-worthy ""turn X into Y"" workflow reel like book-to-skill."
01 Sep '26 (Tue),1,3,1364,7,197,75,,OK,"The CloakBrowser tool-discovery reel worked (1071 views, 35 saves, 3.3% save rate) while the Anthropic-skills reel, Archify, and the new ""never automate"" carousel all flopped under 100 views with near-zero saves. Tomorrow, post one more single-tool reel in the CloakBrowser format (obscure utility, concrete use case) and hold the carousel track until it clears 100 views."
02 Sep '26 (Wed),1,3,354,2,-74,-71,,OK,"Tool-discovery reels won on both reach and saves, with book-to-skill at 120 views and 2 saves and tr-openhuman at 113 views and the day's only comment, while the generic ai-job-search reel drew 83 views and zero engagement. Tomorrow, post only tool-discovery reels and add an explicit save prompt in the caption and final frame."
03 Sep '26 (Thu),2,3,140,2,-60,0,,OK,"The herdr reel drew 92 views but zero comments or saves, while everything else stayed under 10 views and the two carousels earned the day's only comments. Tomorrow, post one tool-discovery reel with an explicit ""comment TOOL for the link"" trigger and drop the near-zero-reach reels like openclaude."
04 Sep '26 (Fri),0,1,43,1,-69,-50,21,OK,
